№ п/п,ПОЛНОЕ НАИМЕНОВАНИЕ,КРАТКОЕ НАИМЕНОВАНИЕ,ПРЕЖНЕЕ НАИМЕНОВАНИЕ,Номер лицензии на ОСАГО,Дата выдачи лицензии на ОСАГО,Номер Свид-ва РСА,Дата Свид-ва РСА,Основной телефон/факс,E-mail общий,АДРЕС,ИНН
29,"Акционерное общество ""Объединенная страховая компания""","АО ""ОСК""","Закрытое акционерное общество ""Страховая компания ""Самара-АСКО"" (до 09.07.2009); Закрытое акционерное общество ""Объединенная страховая компания"" (до 29.01.2015)",ОС № 2346-03,24 апр 15,84,8 июн 15,(846) 212-99-55,info@osk-ins.ru,"ул. Молодогвардейская, д. 94, г. Самара, 443099",6312013969
30,"Акционерное общество ""Страховая Компания Опора""","АО ""СК Опора""","ОАО ""СТРАХОВАЯ КОМПАНИЯ ""ОТЕЧЕСТВО"" (до 22.12.2011), ОАО ""ОТКРЫТИЕ СТРАХОВАНИЕ"" (до 14.09.2015); изменение краткого наименования - АО ""СКО"" (до 16.06.2017)",ОС № 3099-03,7 июл 17,225,23 мар 16,(495) 649-71-71,rsa@opora-ins.ru,"ул. Право-Лыбедская, д. 27, город Рязань, 390000",7705103801
31,"Акционерное общество ""Страховая компания ""ПАРИ""","АО ""СК ""ПАРИ""","ОАО ""СК ""ПАРИ"" (до 29.04.2015)",С № 0915 77,27 июл 07,31,14 окт 02,(495) 721-12-21; 788-57-20 (факс),ic@skpari.ru,"ул. Расковой, д. 34, стр. 14, г. Москва, 127015",7704041020
32,"Общество с ограниченной ответственностью Страховая компания ""Паритет-СК""","ООО СК ""Паритет-СК""",,ОС № 3268-03,7 май 15,208,1 ноя 07,(495) 958-23-80; 958-27-10; 958-24-67; 958-28-90,info@paritet-sk.com,"Загородное ш., д. 6, корп. 5, г. Москва, 117152",7705233021
33,"Общество с ограниченной ответственностью ""Поволжский страховой альянс""","ООО ""ПСА""","Закрытое акционерное общество ""Поволжский страховой альянс"" (до 19.09.2014)",ОС № 3568-03,28 янв 15,178,26 июл 04,(8464) 98-71-31; 98-72-10; 98-72-20; 98-72-30,otdstr@psa-insur.com,"ул. Ульяновская, д. 79, г. Сызрань,Самарская обл., 446001",6325064223
34,"Акционерное общество ""Страховая Компания ""ПОЛИС-ГАРАНТ""","АО ""Страховая Компания ""ПОЛИС-ГАРАНТ""","ОАО ""Страховая Компания ""ПОЛИС-ГАРАНТ"" (до 19.11.2014)",ОС № 3390-03,24 июл 15,156,3 ноя 04,(495) 988-50-40; 988-10-81 (факс),info@polis-garant.ru; info@pg.orc.ru,"ул. Вавилова, д. 24, корп. 1, помещение XI, г. Москва, 119334",7736203789
35,"Общество с ограниченной ответственностью ""ПРОМИНСТРАХ""","ООО ""ПРОМИНСТРАХ""",,ОС №3438-03,22 авг 16,207,26 дек 07,(495) 984-41-20; 221-05-50 (тел/факс),info@prominstrah.ru,"Ленинградский пр-т, д. 37, пом.17, г. Москва, 125167",7704216908
36,"Общество с ограниченной ответственностью ""Группа Ренессанс Страхование""","ООО ""Группа Ренессанс Страхование""",,ОС № 1284-03,14 окт 14,72,19 мар 03,725-10-50; 967-35-35 (факс),info@renins.com; Nmetlina@renins.com,"Дербеневская набережная, д. 7, стр. 22, г. Москва, 115114",7724023076
37,"Страховое публичное акционерное общество ""РЕСО-Гарантия""","СПАО ""РЕСО-Гарантия""","ОСАО ""РЕСО-Гарантия"" 9до 03.06.2015)",ОС № 1209-03,20 авг 15,6,12 июл 04,730-30-00; доб.1682 (факс),mail@reso.ru,"Нагорный проезд, д. 6, г. Москва, 117105",7710045520
38,"Общество с ограниченной ответственностью ""Страховая компания ""РЕСО-Шанс""","ООО СК ""РЕСО-Шанс""","ООО ЛСО ""ШАНС"" (до 25.01.2017)",ОС № 0013-03,24 мар 17,113,19 авг 03,(495) 134-12-84,info@chance.lipetsk.ru,"Нагорный проезд, д. 6, стр. 3, г. Москва, 117105",4825002743
39,"Публичное акционерное общество Страховая Компания ""Росгосстрах""","ПАО СК ""Росгосстрах""","ОАО ""Росгосстрах"" (до 23.11.2015); ПАО ""Росгосстрах"" (14.04.2016)",ОС № 0001-03,23 май 16,3,12 май 16,783-24-24 (доб.2683) 783-24-70; 783-24-34 (тел/факс),rgs@rgs.ru; Maria_Soroka@rgs.ru,"ул. Парковая, д. 3, г. Люберцы, Московская обл., 140002",7707067683
40,"Общество с ограниченной ответственностью ""Страховая компания ""СЕРВИСРЕЗЕРВ""","ООО ""СК ""СЕРВИСРЕЗЕРВ""","Общество с ограниченной ответственностью ""Страховая компания ""СЕРВИСРЕЗЕРВ-КОВРОВ"" (до 18.12.2009г.)",ОС № 0632-03,15 май 15,86,19 мар 03,(49232) 5-55-30/31; 5-37-50; 4-18-62 (факс),inbox@svrez.ru,"ул. Чернышевского, д. 17, г. Ковров, Владимирская обл., 601901",3317000799
41,"Общество с ограниченной ответственностью ""Страховая компания ""Сибирский Дом Страхования""","ООО ""Страховая компания ""СДС""","ООО ""Губернская страховая компания Кузбасса"" (до 26.05.2010)",ОС № 2353-03,11 фев 15,131,14 июл 10,(3842) 36-40-47; 39-09-21 (факс),sksds@sksds.ru,"ул. Весенняя, д. 5, г. Кемерово, 650099",4205002133
42,"Акционерное общество страховая компания ""Сибирский Спас""","АО СК ""Сибирский Спас""","ЗАО СК ""Сибирский спас"" (до 29.12.2016)",ОС № 3467-03,1 окт 15,166,15 ноя 07,(3843) 46-99-21; 46-41-00 (факс),nvkz@sibspas.ru,"пр-т Кузнецкстроевский, 13, г. Новокузнецк, Кемеровская обл., 654007",5402155821
43,"Акционерное общество ""Страховое общество газовой промышленности""","АО ""СОГАЗ""","ОАО ""СОГАЗ"" (до 28.05.2015)",С № 1208 77,25 июл 06,110,3 дек 15,(495) 739-21-40 (многоканальный); 739-21-39 (факс),sogaz@sogaz.biz,"пр-т Академика Сахарова, д. 10, г. Москва. 107078",7736035485
44,"Общество с ограниченной ответственностью ""Страховая Компания ""Согласие""","ООО ""СК ""Согласие""",,ОС №1307-03,25 май 15,2,14 окт 02,739-01-01; 959-46-02; 959-46-03 (факс); 953-75-63 (ОСАГО),official@soglasie.ru,"ул. Гиляровского, д. 42, г. Москва, 129110",7706196090
45,"Акционерное общество Страховая группа ""Спасские ворота""","АО СГ ""Спасские ворота""","Открытое акционерное общество ""Межрегионгарант""(до 20.10.03); ОАО Страховая группа ""Межрегионгарант"" (до 29.12.2012); Открытое акционерное общество Страховая группа ""Спасские ворота"" (до 07.10.2016)",ОС № 3300-03,5 дек 16,56,14 ноя 16,"(499) 402-89-02, 402-89-03, 402-89-07 (факс)",info@spasskievorota.com,"ул. Маяковского, д. 4, г. Салехард, ЯНАО, 629003",8901010104
46,"Акционерное общество ""Страховая компания ""Стерх""","АО СК ""Стерх""","ОАО ""РСК ""Стерх"" (до 16.06.2015); АО ""РСК ""Стерх"" (до 04.04.2018)",ОС № 3983-03,22 сен 15,213,9 авг 12,(4112) 44-53-53; 44-62-62 (факс),sterh_rsk@sakha.ru,"ул. Лермонтова, д.152, г. Якутск, Республика Саха (Якутия), 677010",1435159327
47,"Акционерное общество ""Страховая бизнес группа""","АО ""Страховая бизнес группа""","Закрытое акционерное общество ""Страховая компания ""Рекон""( до 08.07.2005): ЗАО ""Страховая бизнес группа"" (до 26.08.2015)",С № 3229 36,14 мар 07,172,24 авг 05,(4732) 59-74-11 (тел/факс); 59-71-95 (тел/факс);,office@ibg.ru; postman@ibg.ru,"Ул.Платонова, 16, г.Воронеж, 394006",3666068423
48,"Общество с ограниченной ответственностью ""Страховое общество ""Сургутнефтегаз""","ООО ""Страховое общество ""Сургутнефтегаз""",,ОС № 3127-03,27 июл 15,41,14 окт 02,(3462)44-25-01; 44-25-03 (факс),pochta@sngi.ru,"ул. Лермонтова, д.9/1, г.Сургут, Тюменская обл., Ханты-Мансийский АО-Югра, 628418",8602103061
49,"Акционерное общество ""Страховое общество ""Талисман""","АО ""СО ""Талисман""","ОАО ""Страховое общество ""Талисман"" (до 12.08.2015)",ОС № 1587-03,22 сен 15,177,21 окт 04,(843) 264-57-80,info@talisman-so.ru,"ул. Николая Ершова, д. 18, г. Казань, Республика Татарстан, 420061",1655004449
50,"Акционерное общество ""Тинькофф Страхование""","АО ""Тинькофф Страхование""","ОАО ""СК ""Москва"" (до 22.11.2013); Открытое акционерное общество ""Тинькофф Онлайн Страхование"" (до 05.01.2015)",ОС № 0191-03,19 май 15,210,30 янв 15,(499) 605-05-50; (495) 645-59-09 (факс),rsa@tinkoffinsurance.ru,"2-я Хуторская ул., д. 38А, стр. 26, г. Москва, 127287",7704082517
51,"Общество с ограниченной ответственностью ""Центральное Страховое Общество""","ООО ""ЦСО""","Общество с ограниченной ответственностью Страховая компания ""Автострах"" до 27.06.2013); ООО СК ""Респект"" (до 20.11.2013)",ОС № 3517-03,19 авг 15,167,8 окт 04,(495) 249-41-11,info@sk-cso.ru,"Шараповский проезд, стр. 7, г. Мытищи, Московская обл., 141006",7701249655
52,"Акционерное общество Страховая компания ""Чулпан""","АО СК ""Чулпан""","ЗАО СК ""Чулпан"" (до 21.10.2014)",ОС № 1216-03,7 май 15,144,9 сен 03,(8553) 45-42-42; 45-53-32; 45-35-96; 45-36-01 (факс),battalova@chulpan.ru; chulpan@tatais.ru,"ул. Пушкина, д. 66, г. Альметьевск, Республика Татарстан, 423450",1644001196
53,"Публичное акционерное общество ""Страховая акционерная компания ""ЭНЕРГОГАРАНТ""","ПАО ""САК ""ЭНЕРГОГАРАНТ""","ОАО ""САК ""ЭНЕРГОГАРАНТ"" (до 30.10.2015)",С № 1834 77,16 фев 06,46,14 окт 02,"(495) 737-03-30 (тел/факс), 737-03-17 (тел/факс)",vorobyov@msk-garant.ru,"Садовническая набережная, д. 23, г. Москва, 115035",7705041231
54,Страховое акционерное общество ЭРГО,САО ЭРГО,"Закрытое акционерное страховое общество ""РУСЬ"" (до 06.07.2006г); ЗАСО ""ЭРГО Русь"" (до 13.07.2015)",С № 0177 78,18 окт 17,83,23 июл 15,(812) 702-05-22; 702-05-25; 600-20-51; 702-05-26 (факс); 600-20-51 (факс); 576-75-54 (факс),autoins@ergorussia.ru,"Серебряническая наб., д. 29, этаж 5, к. № 97-139, 153-164, г. Москва, 109028",7815025049
55,"Акционерное общество ""Государственная страховая компания ""Югория""","АО ""ГСК ""Югория""","Государственное предприятие Ханты-Мансийского автономного округа""Государственная страховая компания ""Югория""(до10.09.2004); Открытое акционерное общество ""Государственная страховая компания ""Югория"" (до 08.02.2016)",С № 3211 86,28 фев 06,48,6 апр 05,(3467) 357-222; 357-224 (факс) Московское представительство: (495) 970-10-70,rsa@ugsk.ru,"ул. Комсомольская, д. 61, г. Ханты-Мансийск, 628012",8601023568
56,"Публичное акционерное общество ""Страховая компания ЮЖУРАЛ-АСКО""","ПАО ""СК ЮЖУРАЛ-АСКО""","ООО ""СК ""ЮЖУРАЛ-АСКО"" (до 07.07.2016), АО ""СК ЮЖУРАЛ-АСКО"" (до 14.02.2017)",С № 2243 74,23 июн 06,49,14 окт 02,(3512) 66-46-43,office@acko.ru; ilyinykh@acko.ru,"ул. Красная, д. 4, г. Челябинск, 454091",7453297458
57,"Страховое акционерное общество ""ЯКОРЬ""","АО Страховое Общество ""ЯКОРЬ""","ОАО Страховое Общество""ЯКОРЬ"" (до 19.08.2015)",С № 1621 77,27 июл 07,145,29 авг 03,(495) 232-12-10,Arbat@yakor.ru,"Подсосенский переулок, д. 5-7, стр. 2, г. Москва, 105062",7731041830
